step 33 dis: 0.2367403209209442,reward: 0.01811268925666809, std: 0.1
step 31 dis: 0.23827672004699707,reward: 0.017550494521856308, std: 0.1
step 34 dis: 0.23654305934906006,reward: 0.018047865480184555, std: 0.1
step 32 dis: 0.23696722090244293,reward: 0.018082059919834137, std: 0.1
step 35 dis: 0.23758086562156677,reward: 0.01780717819929123, std: 0.1
step 33 dis: 0.23627007007598877,reward: 0.018277062103152275, std: 0.1
step 36 dis: 0.237779438495636,reward: 0.017725195735692978, std: 0.1
step 34 dis: 0.23587928712368011,reward: 0.018404588103294373, std: 0.1
step 37 dis: 0.2362983673810959,reward: 0.018204832449555397, std: 0.1
step 35 dis: 0.23604848980903625,reward: 0.01835929974913597, std: 0.1
step 38 dis: 0.23615148663520813,reward: 0.01820579543709755, std: 0.1
step 36 dis: 0.2346835732460022,reward: 0.01881651021540165, std: 0.1
step 39 dis: 0.236188143491745,reward: 0.018331971019506454, std: 0.1
step 37 dis: 0.23697811365127563,reward: 0.018051277846097946, std: 0.1
step 40 dis: 0.23776890337467194,reward: 0.01788947731256485, std: 0.1
step 38 dis: 0.23801133036613464,reward: 0.017704814672470093, std: 0.1
step 41 dis: 0.23734717071056366,reward: 0.01812780275940895, std: 0.1
step 42 dis: 0.23739412426948547,reward: 0.01798228546977043, std: 0.1
step 39 dis: 0.23655742406845093,reward: 0.018267840147018433, std: 0.1
step 43 dis: 0.237626314163208,reward: 0.017791112884879112, std: 0.1
step 40 dis: 0.23771105706691742,reward: 0.017679184675216675, std: 0.1
step 44 dis: 0.23669745028018951,reward: 0.018111303448677063, std: 0.1
step 41 dis: 0.23810845613479614,reward: 0.017523445188999176, std: 0.1
step 45 dis: 0.2364705502986908,reward: 0.018126245588064194, std: 0.1
step 42 dis: 0.2378930151462555,reward: 0.01760539598762989, std: 0.1
step 46 dis: 0.23683644831180573,reward: 0.018110238015651703, std: 0.1
step 43 dis: 0.23755709826946259,reward: 0.01772322878241539, std: 0.1
